ID	Education	Gender	Wage
1	11	1	5313
2	15	2	5398.8
3	10	1	3764.4
4	11	2	3882.9
5	17	1	6849.9
6	16	1	6432.3
7	10	2	3414.3
8	17	1	6789.7
9	12	2	4113.7
10	13	1	5190.9
11	17	1	6787.9
12	14	2	4914.5
13	9	1	3669.5
14	14	2	4931.9
15	17	1	6877.3
16	9	1	3526.2
17	13	2	4564.6
18	15	1	6105.2
19	19	2	7215.9
20	14	1	5479.5
21	18	1	7175.4
22	13	2	4719.7
23	17	1	6940.6
24	14	2	4905.2
25	14	1	5729.8
26	12	1	4913.8
27	10	2	3481.9
28	15	1	5941.3
29	11	2	3728.3
30	11	1	5490
31	16	1	6332
32	12	2	4280
33	14	1	5699.6
34	18	2	6617
35	16	1	6430.1
36	13	1	5225.4
37	10	2	3277.6
38	14	1	5520.5
39	16	2	5689.7
40	10	1	5142.3
41	12	1	4863.8
42	11	2	3792.8
43	17	1	6850.3
44	15	2	5359.6
45	17	1	6688.3
46	9	1	4525.7
47	10	2	3375.4
48	17	1	7829.9
49	10	2	3469.8
50	12	1	4893.1
51	15	1	6129.2
52	13	2	4675.5
53	10	1	3883.8
54	12	2	4186.8
55	15	1	5916
56	11	1	4365.9
57	15	2	5425.4
58	11	1	4454.2
59	17	2	6179.5
60	19	1	7665.4
61	16	1	6341.3
62	10	2	3473.7
63	13	1	5176.2
64	12	2	4267.9
65	11	1	4261.1
66	13	1	5210.4
67	18	2	6532.4
68	10	1	4120.1
69	9	2	2937.7
70	13	1	5094.5
71	15	1	5928.9
72	17	2	6090.3
73	20	1	8110.3
74	9	2	3141.8
75	16	1	6593.6
76	19	1	7685.3
77	11	2	3705
78	9	1	4549
79	14	2	4895.6
80	16	1	6214.2
81	16	1	6489
82	17	2	6107.4
83	15	1	6137.6
84	16	2	6069
85	17	1	6681.6
86	15	1	7169.3
87	10	2	3351.4
88	13	1	5229
89	16	2	5835.2
90	19	1	7508.2
91	9	1	3525.2
92	15	2	5400.2
93	18	1	7233.4
94	10	2	3273.6
95	12	1	4856.7
96	16	1	7428.8
97	17	2	6180.9
98	17	1	6679.9
99	15	2	5366
100	11	1	4558.8
101	14	1	5632.9
102	14	2	4982.2
103	19	1	7626.8
104	16	2	5819.8
105	13	1	5157
106	14	1	5783.1
107	14	20	5187
108	12	1	4782.9
109	16	2	5862
110	13	1	5136.4
111	12	1	4831
112	9	2	3075.4
113	15	1	6142.1
114	13	2	4659.2
115	12	1	4833.2
116	14	1	5522.1
117	14	2	4951.9
118	17	1	6878.5
119	14	2	4824.7
120	12	1	4713.2
121	10	1	4042.8
122	16	2	5911.7
123	13	1	5127.7
124	15	2	5311.4
125	12	1	4912.8
126	15	1	6058.8
127	15	2	5463.6
128	15	1	5982.3
129	16	2	5748.8
130	12	1	4751.9
131	17	1	6728.1
132	13	2	4559
133	11	1	4176.2
134	21	2	7829.7
135	12	1	4748.9
136	20	1	7993.6
137	12	2	4313.6
138	12	1	4716.4
139	16	2	5677
140	13	1	5251.8
141	16	1	6458.3
142	14	2	5013.3
143	11	1	4331.5
144	14	2	4983.4
145	13	1	5275.2
146	12	1	4742.7
147	14	2	5065.7
148	18	1	7170.4
149	18	2	6604.7
150	16	1	6511.9
151	20	1	7907.5
152	12	2	4289.8
153	14	1	5433.1
154	19	2	6865.8
155	13	1	5089.7
156	15	1	6039.9
157	13	2	4535.3
158	14	1	5509.9
159	11	2	3927.5
160	16	1	6455.3
161	16	1	6554.6
162	19	2	6968.2
163	15	1	5989.9
164	15	2	5345.6
165	15	1	5942.8
166	16	1	6376.1
167	18	2	6738.9
168	17	1	6852
169	13	2	4738.7
170	19	1	7571.6
171	10	1	4176.8
172	10	2	3274.9
173	10	1	3973.2
174	15	2	5259.8
175	15	1	5978.6
176	10	1	3931.8
177	14	2	4894.6
178	13	1	5246.5
179	17	2	6197.5
180	20	1	7971.2
181	16	1	6443
182	15	2	5510.9
183	15	1	6106
184	12	2	4057.1
185	15	1	6167.7
186	14	1	5736.1
187	12	2	4144.2
188	17	1	6657.3
189	12	2	4144.2
190	12	1	4949.4
191	20	1	7864.3
192	14	2	5152.4
193	12	1	4731.5
194	12	2	4069.2
195	8	1	3060.7
196	20	1	7779.9
197	11	2	3839.2
198	16	1	6335.5
199	15	2	5532.7
200	17	1	6948.8
201	16	1	6281.2
202	12	2	4204.4
203	18	1	7078.1
204	17	2	6219.7
205	17	1	6859
206	17	1	6802.5
207	13	2	4385.5
208	14	1	5698
209	16	2	5757.4
210	16	1	6455.1
211	10	1	4011.5
212	12	2	4136.9
213	14	1	5651.1
214	15	2	5468.7
215	15	1	5972.4
216	13	1	5182.5
217	13	2	4519.2
218	15	1	5825.3
219	16	2	5733
220	12	1	4695.6
221	17	1	6883.6
222	11	2	3875.1
223	15	1	5941.9
224	13	2	4456.9
225	18	1	7131.4
226	10	1	3928
227	18	2	6506.9
228	13	1	5311.4
229	13	2	4597.6
230	15	1	5934.8
231	16	1	6319.1
232	15	2	5415.9
233	15	1	5965.2
234	-12	2	4185.9
235	13	1	5067
236	9	1	3766.4
237	14	2	4824.3
238	14	1	5457.2
239	15	2	5538.5
240	14	1	5524.5
241	8	1	3276.4
242	14	2	4928
243	16	1	6439.1
244	17	2	6141.5
245	10	1	4015.5
246	16	1	6309.8
247	13	2	4699.3
248	15	1	5915.5
249	13	2	4722.7
250	14	1	5623.7
251	14	1	5624.3
252	13	2	4628.7
253	17	1	6867.8
254	19	2	6927.6
255	10	1	3807.1
256	19	1	7347.3
257	20	2	7235.5
258	15	1	5951.5
259	11	2	3840.1
260	17	1	6785.5
261	18	1	7131.5
262	12	2	4260.8
263	19	1	7598.3
264	13	2	4696.9
265	14	1	5562.1
266	18	1	7321.7
267	13	2	4492
268	11	1	4389.6
269	19	2	6980.5
270	11	1	4481
271	15	1	5879.8
272	12	2	4246.9
273	14	1	5643
274	11	2	3895.7
275	15	1	5977.4
276	15	1	6067.4
277	18	2	6488.1
278	13	1	5437.3
279	18	2	6615.7
280	20	1	7958.8
281	16	1	6482.4
282	12	2	4345.7
