ID	Education	Gender	Wage
1	11	male	4313
2	15	female	5398.8
3	10	male	3764.4
4	11	female	3882.9
5	17	male	6849.9
6	16	male	6432.3
7	10	female	3414.3
8	17	male	6789.7
9	12	female	4113.7
10	13	male	5190.9
11	17	male	6787.9
12	14	female	4914.5
13	9	male	3669.5
14	14	female	4931.9
15	17	male	6877.3
16	9	male	3526.2
17	13	female	4564.6
18	15	male	6105.2
19	19	female	7215.9
20	14	male	5479.5
21	18	male	7175.4
22	13	female	4719.7
23	17	male	6940.6
24	14	female	4905.2
25	14	male	5729.8
26	12	male	4913.8
27	10	female	3481.9
28	15	male	5941.3
29	11	female	3728.3
30	11	male	4490
31	16	male	6332
32	12	female	4280
33	14	male	5699.6
34	18	female	6617
35	16	male	6430.1
36	13	male	5225.4
37	10	female	3277.6
38	14	male	5520.5
39	16	female	5689.7
40	10	male	4142.3
41	12	male	4863.8
42	11	female	3792.8
43	17	male	6850.3
44	15	female	5359.6
45	17	male	6688.3
46	9	male	3525.7
47	10	female	3375.4
48	17	male	6829.9
49	10	female	3469.8
50	12	male	4893.1
51	15	male	6129.2
52	13	female	4675.5
53	10	male	3883.8
54	12	female	4186.8
55	15	male	5916
56	11	male	4365.9
57	15	female	5425.4
58	11	male	4454.2
59	17	female	6179.5
60	19	male	7665.4
61	16	male	6341.3
62	10	female	3473.7
63	13	male	5176.2
64	12	female	4267.9
65	11	male	4261.1
66	13	male	5210.4
67	18	female	6532.4
68	10	male	4120.1
69	9	female	2937.7
70	13	male	5094.5
71	15	male	5928.9
72	17	female	6090.3
73	20	male	8110.3
74	9	female	3141.8
75	16	male	6593.6
76	19	male	7685.3
77	11	female	3705
78	9	male	3549
79	14	female	4895.6
80	16	male	6214.2
81	16	male	6489
82	17	female	6107.4
83	15	male	6137.6
84	16	female	6069
85	17	male	6681.6
86	15	male	6169.3
87	10	female	3351.4
88	13	male	5229
89	16	female	5835.2
90	19	male	7508.2
91	9	male	3525.2
92	15	female	5400.2
93	18	male	7233.4
94	10	female	3273.6
95	12	male	4856.7
96	16	male	6428.8
97	17	female	6180.9
98	17	male	6679.9
99	15	female	5366
100	11	male	4558.8
101	14	male	5632.9
102	14	female	4982.2
103	19	male	7626.8
104	16	female	5819.8
105	13	male	5157
106	14	male	5783.1
108	12	male	4782.9
109	16	female	5862
110	13	male	5136.4
111	12	male	4831
112	9	female	3075.4
113	15	male	6142.1
114	13	female	4659.2
115	12	male	4833.2
116	14	male	5522.1
117	14	female	4951.9
118	17	male	6878.5
119	14	female	4824.7
120	12	male	4713.2
121	10	male	4042.8
122	16	female	5911.7
123	13	male	5127.7
124	15	female	5311.4
125	12	male	4912.8
126	15	male	6058.8
127	15	female	5463.6
128	15	male	5982.3
129	16	female	5748.8
130	12	male	4751.9
131	17	male	6728.1
132	13	female	4559
133	11	male	4176.2
134	21	female	7829.7
135	12	male	4748.9
136	20	male	7993.6
137	12	female	4313.6
138	12	male	4716.4
139	16	female	5677
140	13	male	5251.8
